k,theta,eyevectorX,eyevectorY,eyevectorZ,truthvectorX,truthvectorY,truthvectorZ
2,3.960865,0.004163641,0.4945531,0.8691375,0.1804958,9.931738,20.65014
2,3.948536,0.004088753,0.4943687,0.8692427,0.1803633,9.931779,20.64989
2,3.893399,0.004179995,0.4935435,0.8697111,0.1801627,9.931705,20.6492
2,3.880906,0.004126383,0.493359,0.869816,0.1799808,9.93164,20.64856
2,3.843794,0.004054447,0.4927999,0.8701332,0.179817,9.931607,20.64809
2,3.82935,0.004002744,0.4925883,0.8702533,0.1796111,9.931565,20.64733
2,3.799678,0.003962786,0.4921428,0.8705055,0.1794463,9.931564,20.64681
2,3.755567,0.004126151,0.4914978,0.870869,0.1792091,9.931657,20.64593
2,3.748104,0.004084072,0.4913898,0.8709302,0.1790737,9.931655,20.64546
2,3.712778,0.004072932,0.4908492,0.871235,0.1791377,9.931736,20.64582
2,3.706392,0.00411702,0.490765,0.8712822,0.1790386,9.931862,20.64545
2,3.555562,0.005019948,0.4885035,0.8725474,0.1791932,9.932102,20.64608
2,3.520198,0.005515781,0.4879752,0.8728401,0.1793514,9.932223,20.64657
2,3.525145,0.005665225,0.4880594,0.8727921,0.1793471,9.932317,20.6465
2,3.520588,0.006193799,0.488006,0.8728184,0.1793596,9.932385,20.64646
2,3.527311,0.00641697,0.4881057,0.872761,0.1794898,9.932446,20.64696
2,3.540386,0.006891313,0.4883168,0.8726392,0.1794853,9.932509,20.64682
2,3.550493,0.00736567,0.4884623,0.8725539,0.1796205,9.932558,20.64759
2,3.531416,0.007623272,0.4881469,0.8727282,0.1799444,9.932482,20.64896
2,3.512403,0.007948156,0.4878362,0.872899,0.1803266,9.932524,20.6503
2,3.497432,0.007981872,0.4875739,0.8730453,0.1808158,9.932426,20.65217
2,3.472149,0.0081042,0.4871657,0.873272,0.1811314,9.932448,20.6536
2,3.467804,0.007900683,0.4870799,0.8733217,0.1813713,9.932481,20.65489
2,3.436498,0.007572358,0.4865794,0.8736036,0.1816409,9.932446,20.65628
2,3.409902,0.007452108,0.4861664,0.8738345,0.1817217,9.932503,20.65675
2,3.402718,0.007253047,0.4860423,0.8739052,0.1819476,9.932464,20.65749
2,3.408983,0.007309874,0.4861178,0.8738627,0.1822556,9.932473,20.65872
2,3.414837,0.007278304,0.4861956,0.8738197,0.1824455,9.932473,20.65945
2,3.38992,0.006985774,0.4858132,0.8740348,0.1824515,9.932506,20.65941
2,3.369529,0.006770746,0.4854865,0.8742179,0.1826778,9.932508,20.66019
2,3.315879,0.006540723,0.4846628,0.8746766,0.1826789,9.932494,20.66023
2,3.284676,0.006401695,0.4841829,0.8749434,0.1826804,9.932492,20.66032
2,3.275424,0.006336095,0.4840316,0.8750275,0.182837,9.932497,20.66081
2,3.248356,0.006177095,0.4836051,0.8752645,0.1829827,9.932494,20.66134
2,3.196472,0.006113233,0.4828039,0.8757072,0.1831512,9.932484,20.66172
2,3.178599,0.006274689,0.4825346,0.8758545,0.1831356,9.932465,20.66171
